table_name,excel_column,db_column,excel_type,db_type,match_status
tb_achievement,col_0,,int,,missing_in_db
tb_achievement,UUID,,int,,missing_in_db
tb_achievement,VARCHAR(20),,int,,missing_in_db
tb_achievement,VARCHAR(50),,str,,missing_in_db
tb_achievement,VARCHAR(200),,str,,missing_in_db
tb_achievement,VARCHAR(200),,str,,missing_in_db
tb_achievement,DATE,,str,,missing_in_db
tb_achievement,DATE,,str,,missing_in_db
tb_achievement,VARCHAR(50),,str,,missing_in_db
tb_achievement,VARCHAR(50),,str,,missing_in_db
tb_achievement,JSONB,,str,,missing_in_db
tb_achievement,CHAR(1),,str,,missing_in_db
tb_achievement,VARCHAR(50),,str,,missing_in_db
tb_achievement,TIMESTAMP,,str,,missing_in_db
tb_achievement,VARCHAR(50),,str,,missing_in_db
tb_achievement,TIMESTAMP,,str,,missing_in_db
tb_achievement,col_16,,str,,missing_in_db
tb_achievement,col_17,,unknown,,missing_in_db
tb_achievement,col_18,,unknown,,missing_in_db
tb_achievement,col_19,,unknown,,missing_in_db
tb_achievement,col_20,,unknown,,missing_in_db
tb_achievement,col_21,,unknown,,missing_in_db
tb_achievement,col_22,,unknown,,missing_in_db
tb_achievement,,achievement_id,,uuid,missing_in_excel
tb_achievement,,student_id,,character varying(20),missing_in_excel
tb_achievement,,achievement_type,,character varying(50),missing_in_excel
tb_achievement,,title,,character varying(200),missing_in_excel
tb_achievement,,issuer,,character varying(200),missing_in_excel
tb_achievement,,issue_date,,date,missing_in_excel
tb_achievement,,expire_date,,date,missing_in_excel
tb_achievement,,level,,character varying(50),missing_in_excel
tb_achievement,,score,,character varying(50),missing_in_excel
tb_achievement,,competency_contributions,,jsonb,missing_in_excel
tb_achievement,,verified,,character(1),missing_in_excel
tb_achievement,,ins_user_id,,character varying(50),missing_in_excel
tb_achievement,,ins_dt,,timestamp without time zone,missing_in_excel
tb_achievement,,upd_user_id,,character varying(50),missing_in_excel
tb_achievement,,upd_dt,,timestamp without time zone,missing_in_excel
tb_activity,activity_id,activity_id,int,uuid,exact
tb_activity,student_id,student_id,int,character varying(20),exact
tb_activity,program_cd,program_cd,int,character varying(20),exact
tb_activity,activity_type,activity_type,int,character varying(50),exact
tb_activity,title,title,str,character varying(200),exact
tb_activity,description,description,str,text,exact
tb_activity,start_date,start_date,int,date,exact
tb_activity,end_date,end_date,int,date,exact
tb_activity,hours,hours,str,numeric,exact
tb_activity,achievement,achievement,str,text,exact
tb_activity,status,status,int,character varying(20),exact
tb_activity,verified,verified,str,character(1),exact
tb_activity,ins_user_id,ins_user_id,str,character varying(50),exact
tb_activity,ins_dt,ins_dt,date,timestamp without time zone,exact
tb_activity,upd_user_id,upd_user_id,str,character varying(50),exact
tb_activity,upd_dt,upd_dt,str,timestamp without time zone,exact
tb_activity,col_16,,str,,missing_in_db
tb_college,college_cd,college_cd,int,character varying(20),exact
tb_college,university_cd,university_cd,int,character varying(20),exact
tb_college,college_nm,college_nm,str,character varying(100),exact
tb_college,college_nm_en,college_nm_en,str,character varying(100),exact
tb_college,use_fg,use_fg,int,character(1),exact
tb_college,sort_order,sort_order,int,integer,exact
tb_college,ins_user_id,ins_user_id,int,character varying(50),exact
tb_college,ins_dt,ins_dt,date,timestamp without time zone,exact
tb_college,upd_user_id,upd_user_id,str,character varying(50),exact
tb_college,upd_dt,upd_dt,date,timestamp without time zone,exact
tb_college,col_10,,str,,missing_in_db
tb_college,,ins_user_ip,,character varying(50),missing_in_excel
tb_college,,ins_system_gcd,,character varying(10),missing_in_excel
tb_college,,ins_menu_cd,,character varying(20),missing_in_excel
tb_college,,upd_user_ip,,character varying(50),missing_in_excel
tb_college,,upd_system_gcd,,character varying(10),missing_in_excel
tb_college,,upd_menu_cd,,character varying(20),missing_in_excel
tb_competency,competency_cd,competency_cd,int,character varying(20),exact
tb_competency,competency_nm,competency_nm,str,character varying(100),exact
tb_competency,competency_nm_en,competency_nm_en,str,character varying(100),exact
tb_competency,definition,definition,str,text,exact
tb_competency,category,category,str,character varying(50),exact
tb_competency,weight,weight,str,numeric,exact
tb_competency,max_score,max_score,str,integer,exact
tb_competency,use_fg,use_fg,str,character(1),exact
tb_competency,ins_user_id,ins_user_id,str,character varying(50),exact
tb_competency,ins_dt,ins_dt,date,timestamp without time zone,exact
tb_competency,upd_user_id,upd_user_id,str,character varying(50),exact
tb_competency,upd_dt,upd_dt,date,timestamp without time zone,exact
tb_competency,col_12,,str,,missing_in_db
tb_course,course_cd,course_cd,str,character varying(20),exact
tb_course,course_nm,course_nm,str,character varying(200),exact
tb_course,course_nm_en,course_nm_en,str,character varying(200),exact
tb_course,department_cd,department_cd,int,character varying(20),exact
tb_course,credits,credits,int,integer,exact
tb_course,course_type,course_type,int,character varying(20),exact
tb_course,course_category,course_category,int,character varying(50),exact
tb_course,grade_level,grade_level,int,integer,exact
tb_course,description,description,unknown,text,exact
tb_course,use_fg,use_fg,str,character(1),exact
tb_course,ins_user_id,ins_user_id,str,character varying(50),exact
tb_course,ins_dt,ins_dt,date,timestamp without time zone,exact
tb_course,upd_user_id,upd_user_id,str,character varying(50),exact
